12	28.99	20.12
30	39.78	131.18
260	204.28	867.93
267	25.89	39.65
546	136.59	224.73
574	66.93	164.85
988	39.08	84.25
1947	112.69	388.18
2694	133.16	481.66
2786	208.92	901.08
2801	49.70	51.79
3005	61.42	96.03
3062	35.83	59.69
3183	107.95	113.98
3250	230.36	194.75
3990	29.18	64.44
4387	187.80	346.00
4538	195.05	198.61
4928	148.45	246.01
4959	42.77	60.85
5523	49.32	95.34
6606	87.88	123.97
7060	130.41	225.10
7199	240.44	686.32
7588	42.16	74.97
7626	35.64	65.83
8076	198.69	653.88
8175	279.83	693.20
8344	55.62	227.48
8587	439.17	693.45
9374	30.57	24.26
9927	89.53	-28.40
9985	968.09	3006.00
10064	106.86	200.32
10590	114.60	154.18
10947	171.27	612.17
11111	180.61	664.31
11228	4.38	-2.31
11367	118.41	246.91
11575	256.75	611.71
11867	2697.62	8395.48
12145	62.82	73.50
12370	102.47	101.58
12534	34.14	44.98
13540	165.48	277.66
13720	54.41	49.73
13823	98.39	276.54
14389	34.73	26.85
14660	118.36	441.66
15041	295.88	341.94
15042	18.42	11.56
15056	440.38	1124.68
15223	1131.25	3959.54
15312	114.80	140.78
15672	56.59	87.58
