12	101.76	70.64
30	102.72	338.72
260	317.14	1347.45
267	49.26	75.44
546	220.85	363.35
574	128.58	316.68
988	106.71	230.06
1947	222.59	766.75
2694	196.42	710.47
2786	319.54	1378.19
2801	146.08	152.24
3005	105.71	165.26
3062	62.23	103.66
3183	167.30	176.66
3250	320.76	271.18
3990	45.24	99.90
4387	330.84	609.55
4538	306.02	311.61
4928	253.17	419.55
4959	108.89	154.93
5523	90.46	174.88
6606	171.66	242.17
7060	302.13	521.53
7199	377.26	1076.87
7588	81.08	144.17
7626	58.13	107.35
8076	330.38	1087.29
8175	432.50	1071.42
8344	102.52	419.28
8587	638.99	1008.96
9374	68.65	54.47
9927	186.08	-59.03
9985	1358.24	4217.45
10064	225.22	422.19
10590	293.80	395.25
10947	306.45	1095.33
11111	295.01	1085.10
11228	19.06	-10.02
11367	235.01	490.05
11575	425.93	1014.77
11867	3780.58	11765.81
12145	106.08	124.12
12370	172.11	170.61
12534	62.24	82.00
13540	256.77	430.84
13720	109.66	100.23
13823	192.26	540.37
14389	107.97	83.49
14660	178.86	667.42
15041	677.44	782.91
15042	51.72	32.47
15056	768.82	1963.50
15223	2074.46	7260.91
15312	216.87	265.95
15672	132.47	205.00
