12	30.31	21.04
30	41.64	137.30
260	224.84	955.26
267	28.96	44.36
546	158.66	261.03
574	71.03	174.95
988	42.22	91.02
1947	123.42	425.14
2694	142.94	517.02
2786	218.10	940.67
2801	54.11	56.40
3005	69.92	109.31
3062	38.25	63.72
3183	114.37	120.77
3250	310.69	262.67
3990	32.22	71.16
4387	204.54	376.85
4538	283.62	288.80
4928	158.43	262.55
4959	47.71	67.88
5523	51.95	100.43
6606	90.88	128.22
7060	138.05	238.29
7199	260.85	744.58
7588	46.39	82.49
7626	37.70	69.63
8076	214.60	706.24
8175	298.54	739.55
8344	60.59	247.80
8587	487.37	769.55
9374	31.81	25.24
9927	98.14	-31.13
9985	1016.05	3154.93
10064	124.20	232.83
10590	123.47	166.10
10947	183.38	655.45
11111	192.25	707.12
11228	4.49	-2.36
11367	128.49	267.94
11575	309.41	737.16
11867	3790.65	11797.16
12145	71.29	83.41
12370	126.70	125.60
12534	36.65	48.29
13540	184.01	308.74
13720	57.72	52.75
13823	105.39	296.23
14389	35.67	27.58
14660	143.34	534.89
15041	322.56	372.77
15042	19.30	12.12
15056	501.20	1280.03
15223	1163.65	4072.94
15312	127.44	156.29
15672	62.77	97.13
