12	3527768.00	3527768.00
30	52.12	52.12
260	247.81	247.81
267	40.45	40.45
546	173.14	173.14
574	93.28	93.28
988	53.38	53.38
1947	149.89	149.89
2694	158.00	158.00
2786	251.44	251.44
2801	71.84	71.84
3005	83.75	83.75
3062	50.55	50.55
3183	131.38	131.38
3250	295.88	295.88
3990	40.78	40.78
4387	231.38	231.38
4538	255.53	255.53
4928	179.97	179.97
4959	60.22	60.22
5523	77.06	77.06
6606	105.75	105.75
7060	140.38	140.38
7199	291.84	291.84
7588	7816396.00	7816396.00
7626	49.11	49.11
8076	241.62	241.62
8175	345.22	345.22
8344	77.08	77.08
8587	520.59	520.59
9374	40.59	40.59
9927	121.97	121.97
9985	1063.25	1063.25
10064	30173514.00	30173514.00
10590	137.41	137.41
10947	211.34	211.34
11111	213.59	213.59
11228	5.69	5.69
11367	162.50	162.50
11575	336.38	336.38
11867	3135.88	3135.88
12145	89.52	89.52
12370	134.81	134.81
12534	48.41	48.41
13540	213.22	213.22
13720	68.23	68.23
13823	128.59	128.59
14389	38.22	38.22
14660	159.53	159.53
15041	367.81	367.81
15042	23.31	23.31
15056	27822480.00	27822480.00
15223	1503.25	1503.25
15312	148.38	148.38
15672	78.89	78.89
