12	39.65	39.65
30	60.58	60.58
260	268.54	268.54
267	47.00	47.00
546	192.37	192.37
574	109.70	109.70
988	66.04	66.04
1947	169.68	169.68
2694	175.08	175.08
2786	270.88	270.88
2801	80.45	80.45
3005	93.64	93.64
3062	61.23	61.23
3183	145.05	145.05
3250	322.23	322.23
3990	47.40	47.40
4387	256.79	256.79
4538	292.27	292.27
4928	200.51	200.51
4959	70.14	70.14
5523	86.55	86.55
6606	122.52	122.52
7060	152.88	152.88
7199	322.59	322.59
7588	74.36	74.36
7626	57.69	57.69
8076	264.93	264.93
8175	377.84	377.84
8344	88.66	88.66
8587	552.43	552.43
9374	46.98	46.98
9927	141.42	141.42
9985	1118.41	1118.41
10064	179.47	179.47
10590	158.50	158.50
10947	232.92	232.92
11111	236.59	236.59
11228	7.59	7.59
11367	186.33	186.33
11575	367.23	367.23
11867	3257.44	3257.44
12145	102.32	102.32
12370	151.22	151.22
12534	56.18	56.18
13540	233.80	233.80
13720	75.30	75.30
13823	145.87	145.87
14389	45.38	45.38
14660	181.32	181.32
15041	405.38	405.38
15042	27.25	27.25
15056	582.80	582.80
15223	1675.04	1675.04
15312	167.71	167.71
15672	92.04	92.04
